



 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;AUDIENCIA;
10444961;"10 y 11. Ximena y Sergio";"";"1";"1";"V,S,D";"";"2017-09-08 00:00:00.0";"2018-02-25 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f58782706346d510VgnVCM2000001f4a900aRCRD";"10 y 11. Ximena y Sergio";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=62f582706346d510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4582ee06ea5ee310VgnVCM2000000c205a0aRCRD";"Naves Matadero. Centro Internacional Artes Vivas";"440934";"4471754";"40.39241374953321";"-3.697247685884226";"ARGANZUELA";"/contenido/actividades/Exposiciones";"";
7153670;"1ª Convocatoria grupo promotor Pasaje del Terror 'Halloween'";"";"1";"0";"";"23/10/2014;";"2017-09-15 00:00:00.0";"2017-09-15 23:59:00.0";"18:00";"Te sientes protagonista de todos los eventos. Si te apetece vivir desde dentro la experiencia de diseñar y organizar nuestro Pasaje del Terror en Hontalbilla, ven a la convocatoria    Edad:  de 14 a 30 años      Celebración:  viernes 15 de septiembre, de 18 a 19 horas.   Inscripción:  no es necesaria inscripción.   Plazas:  hasta completar aforo.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=21a3e7c38aad1410VgnVCM1000000b205a0aRCRD";"Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Septiembre 2017";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=398de7c38aad1410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD";"Centro Juvenil Hontalbilla (Fuencarral - El Pardo)";"441583";"4482839";"40.49231828430878";"-3.6906342081203283";"FUENCARRAL-EL PARDO";"/contenido/actividades/Fiestas";"/usuario/Jovenes";
10415204;"33º Festival de Cine al Aire Libre. Fescinal";"";"0";"1";"L,M,X,J,V,S,D";"";"2017-06-23 00:00:00.0";"2017-09-10 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a178cfd9a8ec510VgnVCM2000001f4a900aRCRD";"33.º Festival de Cine al Aire Libre. Fescinal";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d40dfd8e0a8ec510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/CineActividadesAudiovisuales";"/usuario/Niños";
10470331;"A nadie se le dio veneno en risa";"";"0";"1";"V,S";"";"2017-09-01 00:00:00.0";"2017-09-23 23:59:00.0";"23:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2612c107ef90e510VgnVCM2000001f4a900aRCRD";"A nadie se le dio veneno en risa";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2de1c107ef90e510VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"/contenido/actividades/CircoPerformanceTeatro";"";
10480934;"Abuelikas";"";"1";"0";"";"";"2017-10-07 00:00:00.0";"2017-10-07 23:59:00.0";"19:00";"Compañía: Forja Teatro  Público: Adulto  Duración: 60 minutos  Sinopsis: Muestra las ganas de vivir de Trini, una anciana con muchas ganas e ilusiones.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=114206483206e510VgnVCM1000001d4a900aRCRD";"Actividades Centro Cultural San Juan Bautista. Octubre 2017";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=883106483206e510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=618b1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural San Juan Bautista (Ciudad Lineal)";"444312";"4478369";"40.45224737965276";"-3.6580402287911937";"CIUDAD LINEAL";"/contenido/actividades/CircoPerformanceTeatro";"";
10475509;"Acoustic Villaverde Fest";"";"1";"0";"";"";"2017-09-22 00:00:00.0";"2017-09-22 23:59:00.0";"18:00";"Actuación de Marta Espinosa, Sandra Merino, Nachorte y Scai  Organiza Asociación El Circulo, Asociacion La Morada de Villaverde y Ayuntamiento de Madrid.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c1df16f392d3e510VgnVCM1000001d4a900aRCRD";"Acoustic Villaverde Fest";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a0cf16f392d3e510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03f7cbf06c81c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Santa Petronila (Villaverde)";"441386";"4467139";"40.35087114162283";"-3.691508909255186";"VILLAVERDE";"/contenido/actividades/Musica/CantautorFolkCountry";"";
10361251;"Agitador";"";"1";"1";"L,M,X,J,V,S,D";"";"2017-05-26 00:00:00.0";"2017-09-24 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86223764f5b1c510VgnVCM2000001f4a900aRCRD";"Agitador";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2a813764f5b1c510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Conde Duque";"439869";"4475716";"40.42802889001877";"-3.710182353581842";"CENTRO";"/contenido/actividades/LGTBI";"";
10481325;"Agronautas en el Parking Day";"";"1";"0";"";"";"2017-09-15 00:00:00.0";"2017-09-15 23:59:00.0";"10:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=812e968f7116e510VgnVCM2000001f4a900aRCRD";"Agronautas en el Parking Day";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=50dd968f7116e510VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5b91e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Los Rosales (Villaverde)";"442592";"4467116";"40.35074797433515";"-3.6773064421969233";"VILLAVERDE";"/contenido/actividades/ActividadesCalleArteUrbano";"";
10174019;"Ajedrez";"";"1";"1";"L,V";"";"2017-01-02 00:00:00.0";"2017-12-29 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cb3a6ec9f5008510VgnVCM1000001d4a900aRCRD";"Ajedrez en el Centro Cultural Hortaleza";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=53671ac331008510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=86381e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Hortaleza";"445689";"4481092";"40.476859845869534";"-3.6420353342333227";"HORTALEZA";"/contenido/actividades/ActividadesDeportivas/Ajedrez";"";
10453401;"Alquiler de barcas de remos y barco solar. Estanque del Retiro";"";"0";"1";"L,M,X,J,V,S,D";"";"2017-06-01 00:00:00.0";"2018-01-03 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a9ed15647a88d510VgnVCM1000001d4a900aRCRD";"Alquiler de barcas de remos y barco solar. Estanque del Retiro";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a28d15647a88d510VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35e53d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa de Vacas (Retiro).";"442077";"4474703";"40.41906024374356";"-3.6840615387926956";"RETIRO";"/contenido/actividades/ActividadesCalleArteUrbano";"";
